s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-04-3079	pfama1.11	56	0.0641466	19328	1	0	1	19328	2
2017-10-04-3093	pfama1.35	8	0.0091638	24846	1	0	1	24846	2
2017-10-04-3096	pfama1.17	30	0.0343643	64908	5	0	0.560282	36320	2
2017-10-04-3096	pfama1.08	62	0.0710195	64908	5	1	0.321635	20900	2
2017-10-04-3096	pfama1.27	15	0.0171821	64908	5	2	0.0517201	3347	2
2017-10-04-3096	pfama1.06	66	0.0756014	64908	5	3	0.0503795	3282	2
2017-10-04-3096	pfama1.13	47	0.0538373	64908	5	4	0.0159831	1059	2
2017-10-04-3313	pfama1.04	80	0.091638	65079	1	0	1	65079	5
2017-10-04-3315	pfama1.24	19	0.021764	36331	3	0	0.640859	23528	2
2017-10-04-3315	pfama1.08	62	0.0710195	36331	3	1	0.241969	8736	2
2017-10-04-3315	pfama1.14	39	0.0446735	36331	3	2	0.117172	4067	2
2017-10-04-3364	pfama1.21	26	0.0297824	8584	1	0	1	8584	2
2017-10-04-3510	pfama1.27	15	0.0171821	58000	1	0	1	58000	3
2017-10-09-3001	pfama1.04	80	0.091638	85549	1	0	1	85549	2
2017-10-09-3162	pfama1.43	2	0.00229095	9668	1	0	1	9668	1
2017-10-09-3163	pfama1.02	120	0.137457	90886	3	0	0.594524	54037	2
2017-10-09-3163	pfama1.00	145	0.166094	90886	3	1	0.348188	31626	2
2017-10-09-3163	pfama1.13	47	0.0538373	90886	3	2	0.0572883	5223	2
2017-10-09-3164	pfama1.00	145	0.166094	48709	2	0	0.901429	43966	2
2017-10-09-3164	pfama1.12	52	0.0595647	48709	2	1	0.0985713	4743	2
2017-10-10-3284	pfama1.11	56	0.0641466	38137	2	0	0.733443	27987	2
2017-10-10-3284	pfama1.08	62	0.0710195	38137	2	1	0.266557	10150	2
2017-10-10-3285	pfama1.08	62	0.0710195	65212	5	0	0.640985	41789	2
2017-10-10-3285	pfama1.01	133	0.152348	65212	5	1	0.259683	16942	2
2017-10-10-3285	pfama1.42	4	0.0045819	65212	5	2	0.0435195	2840	2
2017-10-10-3285	pfama1.10	60	0.0687285	65212	5	3	0.0283098	1848	2
2017-10-10-3285	pfama1.15	31	0.0355097	65212	5	4	0.0275027	1793	2
2017-10-10-3523	pfama1.05	66	0.0756014	53609	1	0	1	53609	2
2017-10-10-3527	pfama1.02	120	0.137457	31139	1	0	1	31139	1
2017-10-11-3236	pfama1.12	52	0.0595647	66326	1	0	1	66326	2
2017-10-11-3529	pfama1.21	26	0.0297824	9148	1	0	1	9148	1
2017-10-11-3530	pfama1.20	28	0.0320733	40788	1	0	1	40788	2
2017-10-16-3540	pfama1.08	62	0.0710195	55659	1	0	1	55659	2
